,drug,cell_line,IC50
0,5-Fluorouracil,HEL,2.462663
1,ABT737,HEL,0.727914
2,AGI-5198,HEL,4.37324
3,AGI-6780,HEL,3.053522
4,AGK2,HEL,3.435404
5,AMG-319,HEL,4.372633
6,AT13148,HEL,2.924252
7,AZ6102,HEL,1.741545
8,AZ960,HEL,-0.45043
9,AZD1208,HEL,3.969908
10,AZD1332,HEL,3.827417
11,AZD2014,HEL,1.990833
12,AZD3759,HEL,1.690591
13,AZD4547,HEL,2.660068
14,AZD5153,HEL,-1.579341
15,AZD5363,HEL,4.258594
16,AZD5438,HEL,1.373512
17,AZD5582,HEL,4.464754
18,AZD5991,HEL,4.373228
19,AZD6482,HEL,3.83721
20,AZD6738,HEL,-0.401548
21,AZD7762,HEL,-1.444233
22,AZD8186,HEL,4.372257
23,Acetalax,HEL,5.229914
24,Afatinib,HEL,1.830878
25,Afuresertib,HEL,2.702003
26,Alisertib,HEL,2.270216
27,Alpelisib,HEL,3.426936
28,Avagacestat,HEL,4.044609
29,Axitinib,HEL,2.380458
30,BI-2536,HEL,-2.490341
31,BIBR-1532,HEL,4.341508
32,BMS-345541,HEL,1.703818
33,BMS-536924,HEL,1.081879
34,BMS-754807,HEL,2.841303
35,BX795,HEL,2.011093
36,Bicalutamide,HEL,4.373083
37,Bleomycin,HEL,2.162377
38,Bortezomib,HEL,-5.526198
39,Bosutinib,HEL,1.223188
40,Bromosporine,HEL,1.232807
41,Buparlisib,HEL,1.076224
42,CCT-018159,HEL,2.639738
43,CCT007093,HEL,3.671145
44,CHIR-99021,HEL,1.043535
45,CZC24832,HEL,4.457007
46,Camptothecin,HEL,-3.978419
47,Carmustine,HEL,4.675045
48,Cediranib,HEL,1.947726
49,Crizotinib,HEL,1.63062
50,Cyclophosphamide,HEL,4.371572
51,Dabrafenib,HEL,3.765882
52,Dacarbazine,HEL,4.485565
53,Dactinomycin,HEL,-4.093321
54,Dactolisib,HEL,-2.54546
55,Daporinad,HEL,-5.692192
56,Dasatinib,HEL,2.165652
57,Dihydrorotenone,HEL,2.003986
58,Dinaciclib,HEL,-3.721416
59,Docetaxel,HEL,-2.894219
60,Doramapimod,HEL,2.989417
61,EHT-1864,HEL,2.898275
62,EPZ004777,HEL,3.648165
63,EPZ5676,HEL,4.556531
64,Elephantin,HEL,2.249668
65,Elesclomol,HEL,-3.873658
66,Entinostat,HEL,0.481834
67,Entospletinib,HEL,2.510442
68,Epirubicin,HEL,-1.974206
69,Erlotinib,HEL,2.832938
70,Fludarabine,HEL,1.096348
71,Foretinib,HEL,2.901355
72,Fulvestrant,HEL,2.61263
73,GDC0810,HEL,4.373016
74,GNE-317,HEL,1.206981
75,GSK-LSD1,HEL,-1.014576
76,GSK1904529A,HEL,4.18719
77,GSK2110183B,HEL,3.164307
78,GSK2578215A,HEL,3.7717
79,GSK2606414,HEL,2.635478
80,GSK269962A,HEL,2.759768
81,GSK2801,HEL,4.201838
82,GSK343,HEL,1.867207
83,GSK591,HEL,2.624115
84,GW441756,HEL,2.751303
85,Gallibiscoquinazole,HEL,2.008598
86,Gefitinib,HEL,2.442367
87,Gemcitabine,HEL,-4.820891
88,I-BET-762,HEL,1.439985
89,I-BRD9,HEL,2.473141
90,IOX2,HEL,1.277448
91,IWP-2,HEL,2.290308
92,Ibrutinib,HEL,3.803914
93,Ipatasertib,HEL,3.972406
94,Irinotecan,HEL,1.118997
95,JNK Inhibitor VIII,HEL,3.199606
96,JQ1,HEL,-0.718532
97,KRAS (G12C) Inhibitor-12,HEL,3.869663
98,KU-55933,HEL,4.139366
99,L-Oxonoreleagnine,HEL,1.962914
100,LCL161,HEL,4.511036
101,LGK974,HEL,3.820743
102,LJI308,HEL,4.167601
103,LMP744,HEL,-2.995625
104,LY2109761,HEL,3.744833
105,Lapatinib,HEL,2.532252
106,Leflunomide,HEL,3.650549
107,Lenalidomide,HEL,4.367074
108,Lestaurtinib,HEL,-0.851305
109,Linsitinib,HEL,3.230307
110,Luminespib,HEL,-3.507849
111,MG-132,HEL,-1.846089
112,MIRA-1,HEL,3.277142
113,MK-1775,HEL,-1.025868
114,MK-2206,HEL,3.271386
115,MK-8776,HEL,0.553272
116,ML323,HEL,3.72267
117,MN-64,HEL,2.697512
118,Methotrexate,HEL,-2.372109
119,Mirin,HEL,3.667897
120,Mitoxantrone,HEL,-1.480227
121,Motesanib,HEL,4.093971
122,NU7441,HEL,1.688381
123,NVP-ADW742,HEL,3.816078
124,Navitoclax,HEL,-0.098989
125,Nelarabine,HEL,3.647548
126,Nilotinib,HEL,3.046639
127,Niraparib,HEL,1.954565
128,Nutlin-3a (-),HEL,4.287108
129,OF-1,HEL,4.031677
130,OSI-027,HEL,1.843611
131,OTX015,HEL,-0.090018
132,Obatoclax Mesylate,HEL,1.18841
133,Olaparib,HEL,3.503609
134,Osimertinib,HEL,1.743062
135,Oxaliplatin,HEL,2.097369
136,P22077,HEL,1.974511
137,PCI-34051,HEL,2.604943
138,PD0325901,HEL,2.94561
139,PD173074,HEL,2.836276
140,PF-4708671,HEL,2.541509
141,PFI-1,HEL,2.288104
142,PFI3,HEL,4.011434
143,PLX-4720,HEL,3.103018
144,PRIMA-1MET,HEL,2.840747
145,PRT062607,HEL,2.055156
146,Paclitaxel,HEL,-2.214539
147,Palbociclib,HEL,1.188299
148,Pevonedistat,HEL,-2.09157
149,Picolinici-acid,HEL,4.305891
150,Pictilisib,HEL,1.988692
151,Piperlongumine,HEL,1.168082
152,Podophyllotoxin bromide,HEL,-1.467516
153,Pyridostatin,HEL,4.373158
154,RO-3306,HEL,1.500782
155,RVX-208,HEL,4.288528
156,Rapamycin,HEL,-1.231258
157,Refametinib,HEL,4.266376
158,Ribociclib,HEL,2.030058
159,Romidepsin,HEL,-5.02797
160,Rucaparib,HEL,3.221512
161,Ruxolitinib,HEL,1.434941
162,SB216763,HEL,2.228604
163,SB505124,HEL,3.876046
164,SB590885,HEL,3.544834
165,SCH772984,HEL,3.395692
166,SGC-CBP30,HEL,3.113634
167,SGC0946,HEL,1.168598
168,SL0101,HEL,3.070563
169,SN-38,HEL,-4.767978
170,Sabutoclax,HEL,-1.540775
171,Sapitinib,HEL,3.910589
172,Savolitinib,HEL,1.108371
173,Schweinfurthin A,HEL,-1.57222
174,Selumetinib,HEL,4.37794
175,Sepantronium bromide,HEL,-1.83873
176,Serdemetan,HEL,2.50108
177,Sinularin,HEL,2.954225
178,Sorafenib,HEL,1.859532
179,Staurosporine,HEL,-3.532707
180,Talazoparib,HEL,0.547618
181,Tamoxifen,HEL,4.306699
182,Tanespimycin,HEL,0.217353
183,Taselisib,HEL,4.241866
184,Telomerase Inhibitor IX,HEL,0.007884
185,Temozolomide,HEL,4.056126
186,Temsirolimus,HEL,0.472727
187,Teniposide,HEL,-1.205994
188,Topotecan,HEL,-1.103777
189,Tozasertib,HEL,1.441849
190,Trametinib,HEL,1.549934
191,Tretinoin,HEL,3.764337
192,Ulixertinib,HEL,3.630857
193,Uprosertib,HEL,3.792156
194,VE-822,HEL,-0.014849
195,VE821,HEL,0.905257
196,VX-11e,HEL,2.47524
197,Veliparib,HEL,4.214052
198,Venetoclax,HEL,2.791771
199,Vincristine,HEL,-1.987847
200,Vinorelbine,HEL,-2.338475
201,Vismodegib,HEL,3.815731
202,Vorinostat,HEL,-0.043489
203,WEHI-539,HEL,0.162486
204,WIKI4,HEL,3.705608
205,WZ4003,HEL,3.187116
206,Wee1 Inhibitor,HEL,0.035601
207,Wnt-C59,HEL,3.354435
208,XAV939,HEL,3.142521
209,YK-4-279,HEL,2.033787
210,ZM447439,HEL,2.134254
211,Zoledronate,HEL,2.616975
212,5-Fluorouracil,MONOMAC6,0.072576
213,5-azacytidine,MONOMAC6,-0.026691
214,A-366,MONOMAC6,2.943793
215,ABT737,MONOMAC6,-0.383812
216,AGI-5198,MONOMAC6,3.6054
217,AGK2,MONOMAC6,1.891061
218,AMG-319,MONOMAC6,3.168427
219,AT13148,MONOMAC6,2.515083
220,AZ6102,MONOMAC6,1.096492
221,AZD3759,MONOMAC6,2.26116
222,AZD4547,MONOMAC6,0.93736
223,AZD5363,MONOMAC6,0.668029
224,AZD6738,MONOMAC6,0.37761
225,AZD7762,MONOMAC6,-5.224524
226,AZD8055,MONOMAC6,-0.519294
227,AZD8186,MONOMAC6,0.329936
228,Afatinib,MONOMAC6,0.410422
229,Afuresertib,MONOMAC6,-0.969202
230,Alisertib,MONOMAC6,1.402632
231,Alpelisib,MONOMAC6,3.08351
232,Avagacestat,MONOMAC6,3.139284
233,Axitinib,MONOMAC6,1.635504
234,BI-2536,MONOMAC6,-4.694406
235,BIBR-1532,MONOMAC6,3.771469
236,BMS-536924,MONOMAC6,-1.039763
237,BMS-754807,MONOMAC6,1.114902
238,Bleomycin (50 uM),MONOMAC6,4.258549
239,Bortezomib,MONOMAC6,-5.692622
240,Bosutinib,MONOMAC6,-0.189497
241,Buparlisib,MONOMAC6,-0.259172
242,CCT007093,MONOMAC6,4.779869
243,CPI-637,MONOMAC6,1.387387
244,Camptothecin,MONOMAC6,-3.878581
245,Cediranib,MONOMAC6,0.724321
246,Cisplatin,MONOMAC6,1.057342
247,Crizotinib,MONOMAC6,0.863304
248,Cyclophosphamide,MONOMAC6,4.761188
249,Cytarabine,MONOMAC6,1.6038
250,Dabrafenib,MONOMAC6,1.593584
251,Dactinomycin,MONOMAC6,-5.551418
252,Dactolisib,MONOMAC6,-3.14532
253,Daporinad,MONOMAC6,-6.360406
254,Dasatinib,MONOMAC6,0.601436
255,Docetaxel,MONOMAC6,-5.362865
256,Doramapimod,MONOMAC6,3.319389
257,EHT-1864,MONOMAC6,2.119919
258,EPZ004777,MONOMAC6,3.643607
259,EPZ5676,MONOMAC6,3.383985
260,Epirubicin,MONOMAC6,-1.279449
261,Erlotinib,MONOMAC6,1.927682
262,Foretinib,MONOMAC6,-5.432385
