,drug,cell_line,IC50
0,5-Fluorouracil,22RV1,2.319585
1,5-azacytidine,22RV1,3.192165
2,ABT737,22RV1,3.98776
3,AGI-5198,22RV1,6.255464
4,AGI-6780,22RV1,4.194722
5,AMG-319,22RV1,6.450931
6,AT13148,22RV1,2.529538
7,AZ6102,22RV1,2.9276
8,AZ960,22RV1,3.969719
9,AZD1332,22RV1,3.424256
10,AZD2014,22RV1,-0.554046
11,AZD3759,22RV1,3.408729
12,AZD4547,22RV1,3.618655
13,AZD5153,22RV1,0.758838
14,AZD5363,22RV1,2.654513
15,AZD5438,22RV1,3.426016
16,AZD5582,22RV1,2.402949
17,AZD5991,22RV1,3.873425
18,AZD6738,22RV1,3.384121
19,AZD8055,22RV1,-1.458397
20,AZD8186,22RV1,3.749366
21,Acetalax,22RV1,-0.236071
22,Afatinib,22RV1,2.316328
23,Afuresertib,22RV1,1.553442
24,Alisertib,22RV1,3.292027
25,Alpelisib,22RV1,2.207962
26,Avagacestat,22RV1,5.06275
27,Axitinib,22RV1,4.474203
28,BI-2536,22RV1,-1.501355
29,BMS-345541,22RV1,2.47004
30,BMS-536924,22RV1,2.862935
31,Bleomycin,22RV1,4.031109
32,Bleomycin (50 uM),22RV1,3.97792
33,Bortezomib,22RV1,-4.6224
34,Bosutinib,22RV1,3.913924
35,Bromosporine,22RV1,2.842678
36,Buparlisib,22RV1,0.648494
37,CCT007093,22RV1,5.941977
38,CPI-637,22RV1,4.905957
39,CZC24832,22RV1,4.677051
40,Carmustine,22RV1,6.148346
41,Cediranib,22RV1,2.109625
42,Cisplatin,22RV1,3.372862
43,Crizotinib,22RV1,2.502973
44,Cyclophosphamide,22RV1,6.209993
45,Cytarabine,22RV1,4.189364
46,Dabrafenib,22RV1,6.439239
47,Dacarbazine,22RV1,6.889218
48,Dactinomycin,22RV1,-4.840963
49,Dactolisib,22RV1,-2.793766
50,Daporinad,22RV1,-3.112784
51,Dasatinib,22RV1,4.203067
52,Dihydrorotenone,22RV1,1.840438
